Discord,Team,Individual,Individual?,% Calculator,Rank
Takumi#5946,Lenny Time,78.27%,FALSE,85.57%,Premier
,Lenny Time,76.93%,FALSE,85.57%,Premier
,Fisher College FTP,73.72%,FALSE,73.69%,Premier
,Lenny Time,72.77%,FALSE,85.57%,Premier
,Kitten Shelter,71.30%,FALSE,87.01%,Premier
faknator#2034,DNADIFF,67.59%,FALSE,94.03%,Premier
,o7,66.24%,FALSE,66.21%,Challenger
,OCU,60.82%,FALSE,60.80%,Challenger
,Team Reckaroo,60.29%,FALSE,78.97%,Premier
,UMD Premiere,59.81%,FALSE,59.79%,Challenger
Takumi#5946,o7,59.37%,FALSE,66.21%,Challenger
,SHIFT,58.86%,FALSE,79.12%,Premier
,Levitate,58.47%,FALSE,58.45%,Challenger
,Mizzou Esports,58.10%,FALSE,55.47%,Challenger
,Dice,58.09%,FALSE,58.06%,Challenger
emi#0344,o7,56.78%,FALSE,66.21%,Challenger
,SHIFT,56.55%,FALSE,79.12%,Premier
,Levitate,56.25%,FALSE,58.45%,Challenger
,Carleton Ravens,55.05%,FALSE,55.03%,Challenger
,Spaghetti,55.05%,FALSE,74.48%,Premier
,Big Pizza,55.04%,FALSE,55.02%,Challenger
,Lycus Empire,54.74%,FALSE,65.20%,Challenger
,Lycus Empire,54.49%,FALSE,65.20%,Challenger
,Team Major Academy,53.54%,FALSE,73.09%,Premier
,Big Pizza,53.53%,FALSE,55.02%,Challenger
,Fisher College FTP,52.99%,FALSE,73.69%,Premier
,Mizzou Esports,52.69%,FALSE,55.47%,Challenger
,Elysium,52.66%,FALSE,70.25%,Premier
,Ohio Northern University,52.62%,FALSE,48.60%,Advanced
,Spades Esports,52.29%,FALSE,52.27%,Advanced
,Lycus Empire,52.13%,FALSE,65.20%,Challenger
,Carleton Ravens,51.85%,FALSE,55.03%,Challenger
,Ignite Beyond,51.47%,FALSE,70.86%,Premier
,Levitate,51.44%,FALSE,58.45%,Challenger
,kaiju corp,51.44%,FALSE,41.75%,Intermediate
,WTP,51.42%,FALSE,65.82%,Challenger
,Lycus Empire,50.66%,FALSE,65.20%,Challenger
,Illini Orange,50.54%,FALSE,50.52%,Advanced
,Large Flamingo Tots,49.89%,FALSE,42.13%,Intermediate
,Levitate,49.86%,FALSE,58.45%,Challenger
,Levitate,49.85%,FALSE,58.45%,Challenger
,OCU,49.85%,FALSE,60.80%,Challenger
,Fisher College FTP,49.47%,FALSE,73.69%,Premier
,TAMU Maroon,49.19%,FALSE,56.34%,Challenger
,o7,48.55%,FALSE,66.21%,Challenger
,Sakura Storm,48.21%,FALSE,#N/A,#N/A
,Team Revenge,47.84%,FALSE,78.46%,Premier
,Davenport University,46.99%,FALSE,46.56%,Advanced
,Big Pizza,46.53%,FALSE,55.02%,Challenger
,Carleton Ravens,46.42%,FALSE,55.03%,Challenger
,Team MystiC2,46.05%,FALSE,46.03%,Advanced
,Fisher College FTP,45.33%,FALSE,73.69%,Premier
,RIT Orange,44.89%,FALSE,45.90%,Advanced
,UW Valorant Gold,44.70%,FALSE,62.74%,Challenger
,UCF Knights Rising,43.25%,FALSE,46.17%,Advanced
Katt#3339,,42.63%,TRUE,42.63%,Intermediate
,Agoge Gaming,42.09%,FALSE,61.81%,Challenger
,Rutgers University,41.78%,FALSE,41.76%,Intermediate
,Mizzou Esports,41.27%,FALSE,55.47%,Challenger
,TAMU Maroon,41.03%,FALSE,56.34%,Challenger
,GMU Patriots,40.72%,FALSE,40.70%,Intermediate
,NYU,40.18%,FALSE,40.17%,Intermediate
,afterMath Esports,40.12%,FALSE,61.12%,Challenger
,UCF,39.76%,FALSE,39.74%,Contender
,The Black Armory,39.53%,FALSE,36.99%,Contender
,Ohio Northern University,39.40%,FALSE,48.60%,Advanced
,RIT Orange,39.20%,FALSE,45.90%,Advanced
,CU Boulder,38.48%,FALSE,38.41%,Contender
,Mizzou Esports,38.20%,FALSE,55.47%,Challenger
,CRWNsports,37.71%,FALSE,#N/A,#N/A
,Chosen 1s,37.69%,FALSE,39.81%,Contender
,University of Oklahoma Crimson,37.26%,FALSE,37.25%,Contender
,Starfruit,37.17%,FALSE,45.86%,Advanced
,Dark Tribute,36.64%,FALSE,36.62%,Contender
,OCU,36.62%,FALSE,60.80%,Challenger
,RIT Orange,36.61%,FALSE,45.90%,Advanced
,OCU,36.59%,FALSE,60.80%,Challenger
,UMD Premiere,36.53%,FALSE,59.79%,Challenger
,Not Close,35.79%,FALSE,35.78%,Contender
,Georgia Tech Gold,35.59%,FALSE,30.39%,Contender
,Rutgers University,35.07%,FALSE,41.76%,Intermediate
,,34.31%,TRUE,34.31%,Contender
,Project Scorch,34.13%,FALSE,34.12%,Contender
,CU Boulder,31.22%,FALSE,38.41%,Contender
,CU Boulder,31.15%,FALSE,38.41%,Contender
,Mizzou Esports,30.96%,FALSE,55.47%,Challenger
,Esperion FC,30.40%,FALSE,54.90%,Advanced
,Georgia Tech Gold,30.38%,FALSE,30.39%,Contender
,UT Premier Team,30.05%,FALSE,30.04%,Contender
,The Fog,29.20%,FALSE,49.26%,Advanced
,Paradise,28.11%,FALSE,39.43%,Contender
,GMU Patriots,27.98%,FALSE,40.70%,Intermediate
,DMG,27.72%,FALSE,62.79%,Challenger
,Team TEA,26.32%,FALSE,47.38%,Advanced
,Fifty50,24.80%,FALSE,36.49%,Contender
,RIT Orange,21.96%,FALSE,45.90%,Advanced
,1,20.87%,FALSE,#N/A,#N/A
,Argon,20.40%,FALSE,34.46%,Contender
,Concord University,16.32%,FALSE,45.36%,Advanced
,kaiju corp,12.04%,FALSE,41.75%,Intermediate
,UGA Black,68.33%,FALSE,61.01%,Challenger
,DNADIFF,68.08%,FALSE,#N/A,#N/A
,uOttawa Garnet,67.64%,FALSE,63.84%,Challenger
,Winthrop University,67.62%,FALSE,#N/A,#N/A
,CSUN Red,67.12%,FALSE,#N/A,#N/A
,CPP Black,66.77%,FALSE,60.39%,Challenger
,Bay Area Vandals,65.51%,FALSE,#N/A,#N/A
,Rowan University,65.28%,FALSE,57.18%,Challenger
,UT Dallas,65.10%,FALSE,60.85%,Challenger
,SJSU BLUE,64.81%,FALSE,57.87%,Challenger
,UGA Black,64.52%,FALSE,61.01%,Challenger
,UH Premiere,64.48%,FALSE,62.28%,Challenger
,ASU Maroon,63.83%,FALSE,58.70%,Challenger
,MSU Texas Esports,63.12%,FALSE,48.94%,Advanced
,Waveridahs UH,62.57%,FALSE,62.55%,Challenger
,Laurier Golden Hawks,62.17%,FALSE,60.13%,Challenger
,ASU Maroon,61.49%,FALSE,58.70%,Challenger
,Northwood University,61.29%,FALSE,61.15%,Challenger
,UBC,60.98%,FALSE,60.86%,Challenger
,TAMU Maroon,60.32%,FALSE,56.34%,Challenger
,Converse Varsity,59.82%,FALSE,59.79%,Challenger
,Vespa Premier,59.40%,FALSE,45.45%,Advanced
,Knightmares,59.31%,FALSE,55.44%,Challenger
,FIU Varsity,59.27%,FALSE,56.86%,Challenger
,West Virginia University,58.97%,FALSE,45.95%,Advanced
,SFU Red,58.90%,FALSE,52.01%,Advanced
,UC Irvine,58.53%,FALSE,54.25%,Advanced
,Humber College Esports,58.07%,FALSE,45.72%,Advanced
,UTA Esports,57.97%,FALSE,49.50%,Advanced
,West Virginia University,57.89%,FALSE,45.95%,Advanced
,UBC,57.76%,FALSE,#N/A,#N/A
,UAESA Green,57.70%,FALSE,57.68%,Challenger
,Champlain College Varsity,57.50%,FALSE,53.22%,Advanced
,Waveridahs UH,57.47%,FALSE,#N/A,#N/A
,St. Clair Saints Varsity,57.29%,FALSE,56.71%,Challenger
,UTK Esports Orange,57.12%,FALSE,47.44%,Advanced
,Blinn Esports,56.94%,FALSE,56.92%,Challenger
,FL Poly Purple,56.70%,FALSE,49.97%,Advanced
,Winthrop University,56.47%,FALSE,#N/A,#N/A
,UCR Blue,56.33%,FALSE,51.01%,Advanced
,St. Clair Saints Varsity,56.12%,FALSE,56.71%,Challenger
,Northwood University,55.94%,FALSE,#N/A,#N/A
,UML Riverhawks,55.91%,FALSE,51.75%,Advanced
,University at Buffalo,55.88%,FALSE,51.24%,Advanced
,CSULB Gold,55.84%,FALSE,53.82%,Advanced
,Blinn Esports,54.97%,FALSE,56.92%,Challenger
,DSU Valorant,54.79%,FALSE,46.33%,Advanced
,LVC Dutchman,54.73%,FALSE,50.76%,Advanced
,Tulane University,54.72%,FALSE,40.74%,Intermediate
,CSULB Gold,54.63%,FALSE,53.82%,Advanced
,UNH Chargers,54.39%,FALSE,48.92%,Advanced
,BSC Bobcats VA,54.21%,FALSE,51.51%,Advanced
,UST Esports,53.76%,FALSE,53.73%,Advanced
,UH Premiere,53.72%,FALSE,#N/A,#N/A
,RIT Black,53.69%,FALSE,53.46%,Advanced
,UC Irvine,53.61%,FALSE,54.25%,Advanced
,DePaul Blue Demons,53.59%,FALSE,53.57%,Advanced
,University At Albany,53.56%,FALSE,49.01%,Advanced
,Winthrop University,53.34%,FALSE,#N/A,#N/A
,,53.29%,TRUE,53.29%,Advanced
,BHOP Esports Rose,53.10%,FALSE,#N/A,#N/A
,UWF Blue,53.05%,FALSE,48.30%,Advanced
,Niner Esports,52.92%,FALSE,51.09%,Advanced
,BTR,52.91%,FALSE,52.89%,Advanced
,BTR,52.88%,FALSE,52.89%,Advanced
,UMBC Black,52.81%,FALSE,47.74%,Advanced
,Wichita State Esports,52.77%,FALSE,50.17%,Advanced
,UST Esports,52.76%,FALSE,53.73%,Advanced
,TAMU 12th,52.64%,FALSE,52.62%,Advanced
,Laurier Golden Hawks,52.57%,FALSE,#N/A,#N/A
,CSUN Black,52.53%,FALSE,52.00%,Advanced
,UH Premiere,52.46%,FALSE,#N/A,#N/A
,UAESA Green,52.36%,FALSE,#N/A,#N/A
